Streaming output truncated to the last 5000 lines.
{'t': 31.070000000002057, 'V': 96.4153361481673, 'n': 0.6509746851910735, 'm': 0.993514983455774, 'h': 0.24215799244967673}
{'t': 31.08000000000206, 'V': 95.94511660139287, 'n': 0.6537475138325747, 'm': 0.9937909908063453, 'h': 0.2397438446919815}
{'t': 31.09000000000206, 'V': 95.47139209962333, 'n': 0.6564776357311579, 'm': 0.9940393504520078, 'h': 0.2373540728492723}
{'t': 31.100000000002062, 'V': 94.99433971933185, 'n': 0.6591655415975977, 'm': 0.9942620834471619, 'h': 0.2349884425451941}
{'t': 31.110000000002064, 'V': 94.51413399651919, 'n': 0.6618117210081177, 'm': 0.9944610290647716, 'h': 0.23264672208301548}
{'t': 31.120000000002065, 'V': 94.030946769946, 'n': 0.6644166621561244, 'm': 0.9946378605137268, 'h': 0.23032868242948873}
{'t': 31.130000000002067, 'V': 93.54494704009257, 'n': 0.6669808516122595, 'm': 0.9947940992415083, 'h': 0.2280340971990862}
{'t': 31.14000000000207, 'V': 93.05630084315034, 'n': 0.6695047740930773, 'm': 0.9949311279498153, 'h': 0.22576274263860643}
{'t': 31.15000000000207, 'V': 92.56517113933693, 'n': 0.6719889122385909, 'm': 0.9950502024393132, 'h': 0.22351439761214348}
{'t': 31.16000000000207, 'V': 92.0717177148219, 'n': 0.6744337463988777, 'm': 0.9951524623891795, 'h': 0.22128884358641282}
{'t': 31.170000000002073, 'V': 91.57609709655222, 'n': 0.6768397544298801, 'm': 0.9952389411675816, 'h': 0.21908586461642637}
{'t': 31.180000000002075, 'V': 91.07846247927309, 'n': 0.6792074114984924, 'm': 0.9953105747605265, 'h': 0.21690524733150932}
{'t': 31.190000000002076, 'V': 90.578963664051, 'n': 0.6815371898969769, 'm': 0.9953682098986125, 'h': 0.21474678092165056}
{'t': 31.200000000002078, 'V': 90.07774700762043, 'n': 0.6838295588667164, 'm': 0.9954126114540081, 'h': 0.2126102571241787}
{'t': 31.21000000000208, 'V': 89.57495538189278, 'n': 0.6860849844312701, 'm': 0.9954444691734303, 'h': 0.21049547021075457}
{'t': 31.22000000000208, 'V': 89.07072814298584, 'n': 0.6883039292386689, 'm': 0.9954644038069301, 'h': 0.20840221697467148}
